time,x,y,z,vx,vy,vz
0.0,-0.00041446548298629596,0.0,0.0,0.0,-0.07813803760363484,0.0
0.00014710135924142205,-0.0004143052972973783,-1.149271590523948e-05,0.0,0.0021777517008615688,-0.07810753625804312,0.0
0.00021028557871873732,-0.0004141381578073841,-1.6426933412006567e-05,0.0,0.0031127292705983916,-0.07807571069092821,0.0
0.00027273542683859596,-0.0004139149243328911,-2.1301479576455227e-05,0.0,0.004036393655673362,-0.07803320388811084,0.0
0.00033551328707198674,-0.00041363239788659974,-2.6198606534742355e-05,0.0,0.00496432894981516,-0.07797940655737637,0.0
0.00040036244781398053,-0.00041327940456790144,-3.125339008109109e-05,0.0,0.005922127926343877,-0.07791219081195061,0.0
0.0004662051894436793,-0.0004128574853747948,-3.638076423436136e-05,0.0,0.006893669589773989,-0.07783184984736478,0.0
0.0005310442774094746,-0.0004123795177569146,-4.142442350981188e-05,0.0,0.007849335450519176,-0.07774083556373312,0.0
0.0005966234202879749,-0.0004118331046010744,-4.6519255053188916e-05,0.0,0.008814682423717794,-0.07763678714506582,0.0
0.0006629956201629264,-0.0004112156697341438,-5.1668345814014984e-05,0.0,0.00979029357549261,-0.07751921388596408,0.0
0.0007314159671023678,-0.0004105114550948486,-5.6967724369471115e-05,0.0,0.010794361323527879,-0.07738511499462607,0.0
0.0007991112666673195,-0.0004097471531216371,-6.220147878259531e-05,0.0,0.011785975327548364,-0.07723957334352234,0.0
0.0008649111947658032,-0.00040893997759300707,-6.727884631720046e-05,0.0,0.012747939311114856,-0.07708586702425821,0.0
0.0009285822519545953,-0.0004080987195821733,-7.218194477901206e-05,0.0,0.01367686618745321,-0.07692567034076538,0.0
0.0009909116843602826,-0.0004072179591198272,-7.69715071782955e-05,0.0,0.014584263007720921,-0.0767579515145709,0.0
0.0010524727085512665,-0.00040629260285545674,-8.169143521071816e-05,0.0,0.01547844724150824,-0.07658174101959976,0.0
0.0011144390417745997,-0.000405305628545817,-8.643115652612172e-05,0.0,0.016376360136883407,-0.07639379786649766,0.0
0.0011731436897717187,-0.00040431934317784794,-9.091036125648226e-05,0.0,0.017224899182003112,-0.07620598721017788,0.0
0.001229619630844387,-0.00040332354738714123,-9.520885281999941e-05,0.0,0.018039184288227202,-0.07601636719498864,0.0
0.0012857426533722947,-0.0004022884749171277,-9.946963059778508e-05,0.0,0.01884630503388312,-0.075819270119983,0.0
0.001342849457749673,-0.0004011888251451629,-0.000103793490363417,0.0,0.01966535390518508,-0.07560987886062277,0.0
0.0013966727630951572,-0.0004001096442081176,-0.00010785756923542457,0.0,0.02043517281350756,-0.0754043879647937,0.0
0.0014498077961981883,-0.0003990036766917877,-0.00011185862301288076,0.0,0.021193032636206945,-0.07519379955423089,0.0
0.00150335072399339,-0.0003978485438893528,-0.00011587886552311218,0.0,0.021954505093719393,-0.07497385293288937,0.0
0.0015564687058360349,-0.0003966623514660546,-0.00011985536045210201,0.0,0.022707668441174517,-0.07474799602365828,0.0
0.0016079699918909486,-0.0003954741209937057,-0.00012369918314437606,0.0,0.02343568033203767,-0.07452175488417592,0.0
0.0016596803803684427,-0.00039424340247731153,-0.00012754670437020762,0.0,0.024164369054258738,-0.0742874279895447,0.0
0.001713160903090512,-0.00039293098190488395,-0.0001315129871055209,0.0,0.0249155241626805,-0.0740375496428803,0.0
0.001765028139575221,-0.0003916198435921958,-0.00013534666737022928,0.0,0.02564153992887671,-0.07378791998064503,0.0
0.0018164710820356455,-0.0003902822990186971,-0.00013913601516173872,0.0,0.026359133368335567,-0.07353326735522385,0.0
0.00186903275969969,-0.0003888776069034355,-0.00014299405072417849,0.0,0.02708970577774512,-0.07326583544097129,0.0
0.0019231856393694177,-0.0003873903052103985,-0.00014695397474562838,0.0,0.02783954096463624,-0.07298268109112224,0.0
0.001976429848621191,-0.00038588844792977826,-0.00015083230109505467,0.0,0.02857389324539733,-0.07269676079465914,0.0
0.0020299255198698947,-0.00038434019931026794,-0.00015471341260716654,0.0,0.029308740071203043,-0.07240201380392478,0.0
0.002086000074139443,-0.00038267520459504497,-0.00015876447460481003,0.0,0.03007572890574807,-0.07208504693916849,0.0
0.0021436368427253934,-0.00038091910341912647,-0.00016290963097467952,0.0,0.030860492947335044,-0.07175074202594175,0.0
0.0022003442306919984,-0.00037914727936906833,-0.00016696890383706913,0.0,0.031628957239253186,-0.07141344992521016,0.0
0.0022590352137390234,-0.00037726769989688213,-0.00017114977285517927,0.0,0.03242039807216491,-0.07105565127389762,0.0
0.002319936881268459,-0.000375268344306506,-0.00017546563917562386,0.0,0.03323734687550572,-0.07067505869831024,0.0
0.002384632118323679,-0.00037309010535178716,-0.00018002462359193906,0.0,0.034100261862149844,-0.07026042200870108,0.0
0.002452310557565667,-0.0003707518618389985,-0.0001847647430808256,0.0,0.034997401549497355,-0.06981533651791562,0.0
0.002520390214156442,-0.00036833869779136355,-0.00018950217731404304,0.0,0.03589396977192985,-0.0693559992181131,0.0
0.002589009965353903,-0.0003658448320302497,-0.00019424514919519427,0.0,0.03679152060682641,-0.06888131058305941,0.0
0.0026575433833837428,-0.0003632928452939492,-0.00019894924235591707,0.0,0.03768164731535818,-0.06839556962609596,0.0
0.00272483358951057,-0.000360728009978039,-0.00020353523187307754,0.0,0.03854935975794388,-0.06790739406357343,0.0
0.0027917305924471227,-0.0003581204944975286,-0.00020806149365830404,0.0,0.039405704740347276,-0.06741110657346729,0.0
0.0028590024580418586,-0.0003554408147734163,-0.00021257927117123628,0.0,0.04026037630246913,-0.06690109659763657,0.0
