time,x,y,z,vx,vy,vz,Eccentricity
0,0.0,9.870214251405315,0.0,0.0,0.0,1999.8003131325481,0.0,1.5279393672245363e-14
0,0.00014710135924142205,9.86583947152275,0.2941297594615889,0.0,-59.47539090916687,1998.9114665564498,0.0,0.006127390768691535
0,0.00021028557871873732,9.861274854855608,0.42040184713553475,0.0,-85.00860386633579,1997.9840504688466,0.0,0.009199741089364949
0,0.00027273542683859596,9.855178420485707,0.5451386366212831,0.0,-110.23135551381753,1996.74540830373,0.0,0.012542465745839488
0,0.00033551328707198674,9.84746291345198,0.6704425263299619,0.0,-135.56876703418476,1995.177813068559,0.0,0.016139298936242726
0,0.00040036244781398053,9.837823341637593,0.7997664910228443,0.0,-161.71905809860516,1993.219299759349,0.0,0.019972739344891455
0,0.0004662051894436793,9.826301992810018,0.9309303975659422,0.0,-188.24139408196152,1990.8784627153066,0.0,0.02381529672622666
0,0.0005310442774094746,9.813250730706148,1.0599330321912372,0.0,-214.32670847279428,1988.226794793812,0.0,0.027370234093861513
0,0.0005966234202879749,9.798331295261303,1.190221767103045,0.0,-240.67209937994662,1985.1955753037146,0.0,0.030565178439504483
0,0.0006629956201629264,9.781473667077034,1.3218718879745786,0.0,-267.29280837430616,1981.7705853675238,0.0,0.033248056079416825
0,0.0007314159671023678,9.762248022788333,1.4573338622639074,0.0,-294.6843649147738,1977.8645080566262,0.0,0.03533753589325155
0,0.0007991112666673195,9.74138351900584,1.5910846103632423,0.0,-321.72998429219103,1973.6255003772937,0.0,0.03670286623714811
0,0.0008649111947658032,9.719350401151445,1.7208036759804337,0.0,-347.96047245192096,1969.1491161251827,0.0,0.03741330836211295
0,0.0009285822519545953,9.696388897955424,1.8460347088766103,0.0,-373.2835682772726,1964.4841770899675,0.0,0.03764396150806966
0,0.0009909116843602826,9.672351339166044,1.9683293265081137,0.0,-398.01304112646903,1959.6006997688983,0.0,0.03760805158338412
0,0.0010524727085512665,9.647099033642425,2.0888080058810177,0.0,-422.3754813863038,1954.4705294833893,0.0,0.03752021510798889
0,0.0011144390417745997,9.620167877388553,2.209751454516251,0.0,-446.83209972329087,1948.9994093881985,0.0,0.03758137819309657
0,0.0011731436897717187,9.59325826737793,2.324007668410494,0.0,-469.93665515667334,1943.532801777104,0.0,0.037920917713376814
0,0.001229619630844387,9.566091966635934,2.4336158742308003,0.0,-492.10149883303836,1938.014196715258,0.0,0.038564715652387144
0,0.0012857426533722947,9.537857134002504,2.5422233120866835,0.0,-514.0641657542245,1932.2786973491534,0.0,0.03948819856245943
0,0.001342849457749673,9.507864080920974,2.6523968421894333,0.0,-536.3437349410308,1926.1862401477933,0.0,0.04062177171135877
0,0.0013966727630951572,9.478432655043491,2.7559106955537405,0.0,-557.276757479227,1920.208074267688,0.0,0.04174047969517574
0,0.0014498077961981883,9.448274141780852,2.857779255782449,0.0,-577.8772383764739,1914.082442623395,0.0,0.04276112085275619
0,0.00150335072399339,9.416778665901585,2.9600945811327213,0.0,-598.568236685813,1907.6854994307519,0.0,0.043588755593593785
0,0.0015564687058360349,9.384440292209353,3.061253524383878,0.0,-619.0255399445259,1901.1176219354857,0.0,0.04412512762144839
0,0.0016079699918909486,9.352050391537313,3.158995023381243,0.0,-638.7918725821808,1894.5395485487104,0.0,0.04433173488380288
0,0.0016596803803684427,9.318506578879688,3.256787163964225,0.0,-658.5685671375825,1887.7274095267414,0.0,0.04422823026273446
0,0.001713160903090512,9.28274073323087,3.3575505807980393,0.0,-678.9462585778911,1880.4643286866933,0.0,0.04383637891146499
0,0.001765028139575221,9.24701478550628,3.4548978240505526,0.0,-698.633176073448,1873.2096655591965,0.0,0.0432585601370639
0,0.0018164710820356455,9.210574434326592,3.5510717868136323,0.0,-718.0828860898031,1865.8102484037402,0.0,0.0425957647561741
0,0.00186903275969969,9.172310277916939,3.648938640574465,0.0,-737.8750122223494,1858.0408288409658,0.0,0.04194278900020325
0,0.0019231856393694177,9.131802061154781,3.7493352118447225,0.0,-758.1787777831214,1849.8161146045538,0.0,0.04141174871905837
0,0.001976429848621191,9.090903944501013,3.847607102523393,0.0,-778.0528836682363,1841.5125889190208,0.0,0.04111436738021917
0,0.0020299255198698947,9.048749409894532,3.9458921003848912,0.0,-797.9296547914703,1832.9543256961751,0.0,0.041074265405651414
0,0.002086000074139443,9.003424039226905,4.0484173096621605,0.0,-818.6639554680023,1823.7526928788343,0.0,0.04128323295496823
0,0.0021436368427253934,8.955627349906276,4.153254088028165,0.0,-839.8657384731712,1814.049749427283,0.0,0.04167179454169979
0,0.0022003442306919984,8.907411940898864,4.25584772447877,0.0,-860.6138740265858,1804.2621938346288,0.0,0.042088104253888904
0,0.0022590352137390234,8.856274413999643,4.3614382726498135,0.0,-881.96809138273,1793.881860803752,0.0,0.04239181101291525
0,0.002319936881268459,8.801889666001617,4.47035390065758,0.0,-903.9947636505422,1782.8428063380538,0.0,0.0424040636209841
0,0.002384632118323679,8.742652648443109,4.585308050333401,0.0,-927.2426586535928,1770.8193071945905,0.0,0.04192557248900641
0,0.002452310557565667,8.67908012079766,4.704719578692009,0.0,-951.3920318411277,1757.9163363640018,0.0,0.04077068855294701
0,0.002520390214156442,8.61348786583429,4.823946655591781,0.0,-975.5041599063982,1744.6039688181663,0.0,0.03889184433606709
0,0.002589009965353903,8.54572051552481,4.943190990311252,0.0,-999.61986108624,1730.8507023353789,0.0,0.03630696199648706
0,0.0026575433833837428,8.47639331413247,5.0613318919922445,0.0,-1023.5125139718635,1716.7814300596779,0.0,0.033142024563206474
